channel_id,alt_category,start_year,views_2017,videos_2017,views_2017_quantile,videos_2017_quantile,views_2018,videos_2018,views_2018_quantile,videos_2018_quantile,views_2019,videos_2019,views_2019_quantile,videos_2019_quantile,monetized_videos,videos,monetized_percentage,avg_no_monetization,median_no_monetization,start_month,monetize_start_abs,monetize_start_rel,videos_with_donation,donation_percentage,videos_with_crypto,crypto_percentage,videos_with_merch_others,merch_others_percentage,videos_with_merch_channel,merch_channel_percentage
UCs14Smim-bliHN4GBEom-Vg,Manosphere,2012,6453330.0,62.0,4,3,12896243.0,66.0,4,3,3196452.0,28.0,4,2,64.0,239,0.26778242677824265,0.7949790794979079,0.0,80,142.0,62.0,0.0,0.0,0.0,0.0,64.0,0.26778242677824265,0.0,0.0
UCjvSrwYwbozzW1XAPT9YX9A,None,2009,549458.0,2.0,2,1,107805.0,1.0,1,0,0.0,0.0,0,0,8.0,387,0.020671834625323,0.03359173126614987,0.0,42,57.0,15.0,0.0,0.0,0.0,0.0,7.0,0.01808785529715762,1.0,0.002583979328165375
UCsMzMM6gDS8ZiDIPmatGngg,Manosphere,2009,290034.0,6.0,2,1,130054.0,3.0,1,0,0.0,0.0,0,0,6.0,125,0.048,0.056,0.0,40,86.0,46.0,0.0,0.0,0.0,0.0,6.0,0.048,0.0,0.0
UC06_3EOPgKVoCaTl7yh2n7Q,None,2017,20291.0,2.0,1,1,1399776.0,53.0,2,3,771315.0,26.0,3,2,22.0,81,0.2716049382716049,0.8148148148148148,0.0,144,149.0,5.0,4.0,0.04938271604938271,0.0,0.0,18.0,0.2222222222222222,0.0,0.0
UCsWnDtLWKEMJHKYCc9647yQ,Alt-lite,2017,34464.0,7.0,1,1,1062753.0,77.0,2,3,1560054.0,28.0,3,2,52.0,112,0.4642857142857143,1.7767857142857142,0.0,143,143.0,0.0,52.0,0.4642857142857143,0.0,0.0,0.0,0.0,0.0,0.0
UCxXd9AWfNNaNipcXNmFuCAw,None,2011,41499.0,24.0,1,2,48770.0,46.0,0,2,8485.0,13.0,0,1,0.0,205,0.0,0.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCso6oQ3qy7z61Fr8b0WNBMw,Alt-lite,2011,58045.0,27.0,1,2,14496.0,23.0,0,2,2355.0,6.0,0,1,8.0,158,0.05063291139240506,0.05063291139240506,0.0,64,135.0,71.0,8.0,0.05063291139240506,0.0,0.0,0.0,0.0,0.0,0.0
UC8qjMMzGiM0WF_Q5V1gBenA,None,2013,169951.0,64.0,1,3,2432.0,13.0,0,1,1934.0,3.0,0,0,15.0,365,0.0410958904109589,0.057534246575342465,0.0,86,101.0,15.0,0.0,0.0,0.0,0.0,15.0,0.0410958904109589,0.0,0.0
UCtBv3C8qTj7kaRGVu8UQfLQ,Alt-right,2013,60293.0,52.0,1,3,10391.0,8.0,0,1,0.0,0.0,0,0,1.0,187,0.0053475935828877,0.0053475935828877,0.0,89,115.0,26.0,0.0,0.0,0.0,0.0,1.0,0.0053475935828877,0.0,0.0
UCy5z4ZzznNEos3ypvnyBNnA,None,2008,19402.0,24.0,1,2,258.0,1.0,0,0,704.0,2.0,0,0,0.0,144,0.0,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCtLAZi2CZmDgwgQ51XpqcDQ,Alt-lite,2008,81175.0,13.0,1,2,2401.0,6.0,0,0,0.0,0.0,0,0,0.0,96,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UC8juAMAjKpaft2TIa8Hu08A,None,2014,37737608.0,107.0,4,4,11141587.0,59.0,4,3,1434207.0,20.0,3,2,314.0,414,0.7584541062801933,1.7536231884057971,1.0,98,115.0,17.0,15.0,0.036231884057971016,0.0,0.0,304.0,0.7342995169082126,94.0,0.22705314009661837
UCtQEjfEFzba37ozoXK40r3w,Manosphere,2014,16780625.0,106.0,4,4,13020286.0,105.0,4,3,2762463.0,34.0,3,2,180.0,309,0.5825242718446602,6.41747572815534,2.0,107,117.0,10.0,0.0,0.0,0.0,0.0,180.0,0.5825242718446602,0.0,0.0
UCDTKbIHMkrT7G-Q-Mi2NWpQ,None,2018,0.0,0.0,0,0,9174.0,62.0,0,3,613278.0,397.0,2,4,0.0,459,0.0,0.0,0.0,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCton5c-eyajfNR_pRcKk86g,Manosphere,2018,0.0,0.0,0,0,27629.0,58.0,0,3,151672.0,108.0,2,4,98.0,166,0.5903614457831325,1.2530120481927711,2.0,153,153.0,0.0,96.0,0.5783132530120482,0.0,0.0,15.0,0.09036144578313253,0.0,0.0
UC3K0xQtYWJoRmN9LKrfDqVw,None,2012,2174864.0,52.0,3,3,485468.0,23.0,2,2,271492.0,11.0,2,1,23.0,184,0.125,0.1793478260869565,0.0,73,103.0,30.0,1.0,0.005434782608695652,0.0,0.0,21.0,0.11413043478260869,1.0,0.005434782608695652
UCts47p-nMPfpG4zZPB3ZfKA,Manosphere,2012,1671779.0,56.0,3,3,1046266.0,45.0,2,2,233213.0,16.0,2,1,1.0,178,0.0056179775280898875,0.0056179775280898875,0.0,81,152.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0056179775280898875
UC4KvI3JaoJ_gKFNmp2_t34w,None,2006,742235.0,51.0,2,3,658988.0,54.0,2,3,646418.0,47.0,2,3,116.0,431,0.2691415313225058,4.682134570765661,0.0,11,111.0,100.0,0.0,0.0,0.0,0.0,116.0,0.2691415313225058,0.0,0.0
UCu76O9Ye9k633b2VaLg9cPA,Alt-lite,2006,424603.0,66.0,2,3,573068.0,111.0,2,3,450552.0,47.0,2,3,98.0,357,0.27450980392156865,1.73109243697479,0.0,5,128.0,123.0,93.0,0.2605042016806723,65.0,0.18207282913165265,5.0,0.014005602240896359,1.0,0.0028011204481792717
UCv39nhczfWLxiKFtIX7Km8A,None,2008,1702683.0,204.0,3,4,2718471.0,146.0,3,4,311790.0,40.0,2,3,2.0,1836,0.0010893246187363835,0.0010893246187363835,0.0,32,114.0,82.0,0.0,0.0,0.0,0.0,2.0,0.0010893246187363835,0.0,0.0
UCuErSr7xeR763BzTJL7yJ7A,Manosphere,2008,2303233.0,169.0,3,4,4856875.0,137.0,3,4,228562.0,41.0,2,3,383.0,1580,0.24240506329113923,0.730379746835443,0.0,34,60.0,26.0,337.0,0.21329113924050633,0.0,0.0,59.0,0.03734177215189873,8.0,0.005063291139240506
UCGeNhLPJHs8kJ9VfM35Okqg,None,2014,5803495.0,186.0,4,4,5045658.0,159.0,3,4,3019180.0,73.0,3,3,757.0,800,0.94625,2.935,1.0,101,101.0,0.0,0.0,0.0,0.0,0.0,757.0,0.94625,100.0,0.125
UCuKqtwPO5ci5_KoZGbfl33g,Manosphere,2014,12020162.0,133.0,4,4,4908393.0,150.0,3,4,1570901.0,65.0,3,3,339.0,615,0.551219512195122,9.229268292682926,8.0,101,119.0,18.0,316.0,0.5138211382113821,221.0,0.359349593495935,339.0,0.551219512195122,3.0,0.004878048780487805
UC-cFEo6Vqf79GxEOCZ8Y-mA,None,2012,56100.0,5.0,1,1,0.0,0.0,0,0,1829.0,3.0,0,0,0.0,21,0.0,0.0,0.0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCR2A8lKlxf8-XJJjCugcCNg,None,2012,14410.0,3.0,1,1,9620.0,5.0,0,0,1711.0,1.0,0,0,21.0,419,0.050119331742243436,0.22673031026252982,0.0,74,106.0,32.0,1.0,0.002386634844868735,0.0,0.0,20.0,0.0477326968973747,0.0,0.0
UCcJgV-MTNkaUbV3SDtTlNXQ,None,2012,55870.0,11.0,1,1,2133.0,3.0,0,0,358.0,1.0,0,0,0.0,143,0.0,0.0,0.0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCuUbALqd-qaVTdAYbVyG2Aw,Manosphere,2012,2601.0,4.0,1,1,2539.0,1.0,0,0,0.0,0.0,0,0,10.0,131,0.07633587786259542,0.11450381679389313,0.0,84,103.0,19.0,10.0,0.07633587786259542,0.0,0.0,1.0,0.007633587786259542,0.0,0.0
UCwwP0UPUoTPHg2nWe4qERbA,Manosphere,2012,383.0,4.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,114,0.0,0.0,0.0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCzRWedsDooc3jEp1TuLjB4g,Alt-lite,2012,7525.0,1.0,1,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,824,0.0,0.0,0.0,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UClgXF_jwWAwPRu8nT1g90xQ,None,2010,55732.0,5.0,1,1,274279.0,9.0,1,1,75763.0,3.0,1,0,20.0,38,0.5263157894736842,3.473684210526316,1.0,56,125.0,69.0,0.0,0.0,0.0,0.0,20.0,0.5263157894736842,0.0,0.0
UCutpp9X6rKErxUkv4wKBRPA,Alt-right,2010,5714.0,2.0,1,1,398790.0,9.0,1,1,64662.0,2.0,1,0,3.0,15,0.2,0.26666666666666666,0.0,60,142.0,82.0,0.0,0.0,0.0,0.0,3.0,0.2,0.0,0.0
